spec,var,coef_M2,p_M2,coef_M3,p_M3,N
level_density,chargers_per_mn_itp,0.004464252267965786,0.002322748002880237,0.004612976725468006,0.0035238728424480392,346
log_density,ln_charger_density_itp,-1.6555093077916894,0.09903799051839934,-2.5082599418161,0.05809874276312477,346
